image_id,category_label,category_name,attributes,landmark_x1,landmark_y1,landmark_x2,landmark_y2,style,color,season,formality
img_00000025,1,short_sleeve_top,polo|pique|regular,129,71,371,311,smart-casual,white,all,0.55
img_00000026,4,long_sleeve_outwear,blazer|single-breasted|slim,91,51,409,642,formal,navy,all,0.88
img_00000027,7,shorts,athletic|drawstring|quick-dry,104,334,396,484,sporty,black,all,0.05
img_00000028,12,vest_dress,denim|button-front|midi,101,59,399,619,casual,denim,all,0.32
img_00000029,2,long_sleeve_top,cable-knit|oversized|crew-neck,123,77,377,323,casual,grey,winter,0.22
img_00000030,6,trousers,cargo|relaxed|multi-pocket,109,329,391,603,casual,khaki,all,0.15
img_00000031,3,short_sleeve_outwear,leather|moto|asymmetric-zip,96,56,404,439,casual,black,all,0.45
img_00000032,10,short_sleeve_dress,shirt-dress|belted|knee-length,100,56,400,616,smart-casual,white,all,0.65
img_00000033,1,short_sleeve_top,tie-front|crop|relaxed,131,69,369,309,casual,yellow,summer,0.18
img_00000034,6,trousers,palazzo|flowing|solid,107,327,393,605,smart-casual,cream,summer,0.62
img_00000035,4,long_sleeve_outwear,puffer|hooded|quilted,89,49,411,440,sporty,red,winter,0.12
img_00000036,9,skirt,tutu|knee-length|layered,117,323,383,488,casual,pink,all,0.38
img_00000037,2,long_sleeve_top,button-down|fitted|pinstripe,124,74,376,320,formal,blue-white,all,0.80
img_00000038,7,shorts,denim|ripped|slim,103,333,397,483,casual,blue,summer,0.08
img_00000039,4,long_sleeve_outwear,tailcoat|peak-lapel|formal,87,47,413,648,formal,black,formal,0.98
img_00000040,11,long_sleeve_dress,shirt-dress|midi|belted,99,55,401,623,smart-casual,chambray,all,0.60
img_00000041,1,short_sleeve_top,bardot|off-shoulder|fitted,132,68,368,308,casual,coral,summer,0.28
img_00000042,6,trousers,barrel-leg|cropped|solid,110,330,390,570,smart-casual,tan,all,0.55
img_00000043,3,short_sleeve_outwear,utility|patch-pockets|belted,94,54,406,442,casual,olive,all,0.38
img_00000044,10,short_sleeve_dress,smock|maxi|floral,98,54,402,625,casual,floral,summer,0.20
img_00000045,2,long_sleeve_top,wrap|bishop-sleeve|V-neck,125,75,375,321,formal,forest-green,all,0.72
img_00000046,7,shorts,linen|relaxed|drawstring,105,331,395,481,casual,white,summer,0.20
img_00000047,4,long_sleeve_outwear,duster|open-front|longline,90,50,410,660,smart-casual,camel,autumn,0.65
img_00000048,9,skirt,pencil|midi|slit,115,325,385,592,formal,black,all,0.85
img_00000049,1,short_sleeve_top,crochet|relaxed|crop,130,70,370,312,casual,white,summer,0.15
img_00000050,6,trousers,suit|slim|double-break,109,329,391,599,formal,charcoal,all,0.92
img_00000051,5,vest,tailored|single-breasted|welt-pocket,98,58,402,434,formal,navy,all,0.88
img_00000052,12,vest_dress,knit|A-line|mini,100,60,400,480,casual,grey,winter,0.30
img_00000053,2,long_sleeve_top,sequin|fitted|round-neck,122,78,378,318,formal,silver,evening,0.90
img_00000054,6,trousers,paper-bag|high-waist|solid,110,332,390,598,smart-casual,rust,autumn,0.58
img_00000055,3,short_sleeve_outwear,varsity|ribbed-cuffs|embroidered,95,55,405,438,casual,black-white,all,0.25
img_00000056,13,sling_dress,lace|maxi|backless,101,61,399,628,formal,ivory,formal,0.92
img_00000057,1,short_sleeve_top,henley|relaxed|button-placket,129,73,371,309,casual,grey,all,0.25
img_00000058,6,trousers,drawstring|jogger|tapered,108,330,392,590,sporty,black,all,0.10
img_00000059,4,long_sleeve_outwear,peacoat|double-breasted|fitted,91,51,409,638,smart-casual,navy,winter,0.78
img_00000060,10,short_sleeve_dress,babydoll|tiered|mini,99,55,401,465,casual,white,summer,0.22
img_00000061,2,long_sleeve_top,mock-neck|fitted|ribbed,126,74,374,316,smart-casual,charcoal,winter,0.60
img_00000062,7,shorts,athletic|compression|mid-thigh,104,335,396,480,sporty,navy,all,0.05
img_00000063,5,vest,fleece|zip-stand|casual,97,57,403,432,casual,grey,winter,0.12
img_00000064,9,skirt,wrap|midi|floral-print,116,324,384,588,smart-casual,floral,spring,0.55
img_00000065,3,short_sleeve_outwear,safari|belted|patch-pocket,94,54,406,440,casual,khaki,summer,0.42
img_00000066,11,long_sleeve_dress,velvet|bodycon|off-shoulder,102,58,398,618,formal,emerald,evening,0.90
img_00000067,1,short_sleeve_top,baseball|raglan|graphic,131,71,369,311,casual,white-red,all,0.15
img_00000068,6,trousers,flare|high-waist|solid,107,327,393,607,smart-casual,cream,all,0.65
img_00000069,4,long_sleeve_outwear,field|fleece-lined|snap-buttons,89,49,411,435,casual,brown,autumn,0.22
img_00000070,12,vest_dress,sweater|mini|ribbed,100,60,400,478,smart-casual,burgundy,winter,0.48
img_00000071,2,long_sleeve_top,ruched|fitted|long-sleeve,124,74,376,318,formal,dusty-rose,all,0.72
img_00000072,6,trousers,track|side-stripe|athletic,108,328,392,600,sporty,black-white,all,0.08
img_00000073,3,short_sleeve_outwear,rain|packable|hooded,95,55,405,436,sporty,yellow,all,0.10
img_00000074,10,short_sleeve_dress,linen|shift|knee-length,99,55,401,490,smart-casual,ecru,summer,0.58
img_00000075,1,short_sleeve_top,eyelet|fitted|scoop,130,72,370,310,smart-casual,white,summer,0.45
img_00000076,6,trousers,linen|straight|relaxed,109,329,391,597,casual,sand,summer,0.28
img_00000077,4,long_sleeve_outwear,wool|oversize|longline,90,50,410,655,smart-casual,grey,winter,0.72
img_00000078,9,skirt,denim|mini|A-line,118,326,382,466,casual,blue,all,0.18
img_00000079,5,vest,down|packable|boxy,97,57,403,434,sporty,olive,winter,0.10
img_00000080,13,sling_dress,slip|bias-cut|midi,101,59,399,620,smart-casual,sage-green,summer,0.65
img_00000081,2,long_sleeve_top,thermal|waffle-knit|henley,127,73,373,315,casual,cream,winter,0.18
img_00000082,7,shorts,chino|straight|above-knee,106,332,394,480,smart-casual,khaki,summer,0.42
img_00000083,3,short_sleeve_outwear,windbreaker|packable|zip,95,55,405,438,sporty,teal,all,0.12
img_00000084,11,long_sleeve_dress,maxi|floral|peasant,98,54,402,630,casual,multicolor,summer,0.22
img_00000085,1,short_sleeve_top,sport|moisture-wicking|crew,132,70,368,308,sporty,black,all,0.05
img_00000086,6,trousers,pintuck|tailored|flare,110,330,390,605,formal,ivory,all,0.82
img_00000087,4,long_sleeve_outwear,tuxedo|peak-lapel|slim,90,50,410,650,formal,black,formal,0.98
img_00000088,9,skirt,leather|midi|pencil,115,325,385,590,smart-casual,black,all,0.78
img_00000089,12,vest_dress,linen|button-front|midi,100,60,400,590,casual,white,summer,0.28
img_00000090,2,long_sleeve_top,striped|boxy|oversized,125,73,375,319,casual,navy-white,all,0.20
img_00000091,3,short_sleeve_outwear,denim|cropped|distressed,94,54,406,420,casual,blue,all,0.28
img_00000092,10,short_sleeve_dress,tennis|A-line|pleated,99,55,401,480,smart-casual,white,all,0.52
img_00000093,1,short_sleeve_top,tank|ribbed|fitted,133,69,367,307,casual,white,summer,0.12
img_00000094,6,trousers,chino|slim|ankle,111,331,389,595,smart-casual,stone,all,0.62
img_00000095,5,vest,quilted|sleeveless|zip,97,57,403,436,casual,navy,winter,0.22
img_00000096,13,sling_dress,velvet|mini|sweetheart,100,58,400,468,formal,burgundy,winter,0.88
img_00000097,2,long_sleeve_top,sheer|floaty|bell-sleeve,124,76,376,320,smart-casual,white,all,0.65
img_00000098,7,shorts,swim|board|quick-dry,105,333,395,482,sporty,multicolor,summer,0.05
img_00000099,4,long_sleeve_outwear,cape|open-front|maxi,88,48,412,658,formal,black,all,0.80
img_00000100,11,long_sleeve_dress,sweater|turtleneck|midi,102,60,398,615,smart-casual,camel,winter,0.68
